age,gender,interest_history,interest_mathematics,interest_physics,interest_computers,interest_economy,interest_medical,interest_law,interest_geography,interest_psychology,phobia_Flying,phobia_storm,phobia_darkness,phobia_heights,phobia_ageing,phobia_public_speaking
20.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
19.0,female,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Neutral,Agree,Very afraid,Not afraid,Not afraid,Very afraid,afraid,afraid
22.0,male,Neutral,Disagree,Disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,afraid,Not afraid,Not afraid,afraid,Not afraid,Slightly afraid
19.0,female,Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly disagree,Neutral,Agree,Not afraid,afraid,Slightly afraid,afraid,Slightly afraid,afraid
21.0,female,Neutral,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Very much afraid
22.0,male,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Slightly afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid
28.0,female,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Slightly afraid,Not afraid,Slightly afraid,Not afraid,afraid,Very afraid
21.0,female,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Very much afraid,afraid,Not afraid,Not afraid,Not afraid,Very afraid
20.0,male,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,afraid,Slightly afraid,Slightly afraid,afraid,Slightly afraid,afraid
19.0,male,Disagree,Disagree,Neutral,Strongly agree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
21.0,female,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid
20.0,male,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Disagree,Agree,Agree,afraid,Slightly afraid,Slightly afraid,Very afraid,Not afraid,afraid
16.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Slightly afraid,Slightly afraid,Not afraid,Not afraid,Very much afraid,Not afraid
22.0,male,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Not afraid,afraid,Not afraid,Not afraid,Very much afraid,Not afraid
19.0,male,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Slightly afraid,Not afraid,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid
22.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Very much afraid,Very much afraid,Not afraid,afraid,Not afraid,Not afraid
20.0,male,Disagree,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid
22.0,male,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Slightly afraid,afraid,afraid,afraid,afraid,Not afraid
19.0,male,Neutral,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Not afraid,Not afraid,afraid,Not afraid,Not afraid,afraid
22.0,male,Strongly agree,Strongly disagree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Very much afraid,Very much afraid,Very much afraid,Very much afraid,Very much afraid,afraid
17.0,female,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,afraid,Slightly afraid,Not afraid,afraid,Very afraid,Very afraid
18.0,female,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Slightly afraid,Not afraid,Very much afraid,Slightly afraid,afraid,afraid
19.0,male,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Very much afraid,Very afraid
23.0,female,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Very afraid,Slightly afraid,Very much afraid,Slightly afraid,afraid,Not afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Agree,afraid,Very afraid,Very much afraid,Not afraid,Slightly afraid,Very much afraid
18.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Not afraid,Not afraid,Not afraid,afraid,afraid,Slightly afraid
19.0,male,Disagree,,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid,Very afraid
19.0,female,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Not afraid,Slightly afraid,afraid,Slightly afraid,afraid,Very much afraid
28.0,female,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Very afraid,Slightly afraid,Slightly afraid,afraid,afraid,Slightly afraid
21.0,male,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Agree,Neutral,Not afraid,Not afraid,Not afraid,Slightly afraid,Very afraid,Slightly afraid
23.0,female,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,afraid
20.0,male,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Not afraid,Slightly afraid,Not afraid,afraid,Not afraid,afraid
20.0,male,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,Slightly afraid,afraid,afraid
28.0,female,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly agree,Not afraid,Slightly afraid,afraid,afraid,Slightly afraid,Slightly afraid
22.0,male,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,Slightly afraid
19.0,female,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Disagree,Agree,Neutral,Very afraid,Not afraid,Not afraid,Slightly afraid,Very afraid,Not afraid
21.0,male,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Not afraid
21.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,afraid,Slightly afraid,Slightly afraid,Very afraid,afraid,Very afraid
17.0,male,Neutral,Neutral,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly agree,Not afraid,Not afraid,afraid,Not afraid,Not afraid,Not afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Not afraid,Slightly afraid,Very much afraid,Not afraid,Very much afraid,Not afraid
25.0,male,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,afraid,Not afraid,afraid,Slightly afraid,Very much afraid,afraid
20.0,female,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Neutral,Agree,Disagree,Very afraid,afraid,afraid,afraid,Slightly afraid,Slightly afraid
26.0,male,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Not afraid,Slightly afraid,Slightly afraid,Very afraid,Very afraid,Not afraid
21.0,male,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,afraid,afraid,afraid,afraid,Very afraid,afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Not afraid,Slightly afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
29.0,,Agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,Neutral,Agree,Slightly afraid,Slightly afraid,Very afraid,Very much afraid,Slightly afraid,Very afraid
25.0,male,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Very afraid,afraid,Slightly afraid,Very afraid,Not afraid,Not afraid
21.0,male,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Not afraid,Not afraid,Not afraid,Very afraid,Very afraid,afraid
20.0,male,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Very much afraid,afraid,Not afraid,afraid,afraid,afraid
27.0,male,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Disagree,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid
21.0,male,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Not afraid,Not afraid,Slightly afraid,afraid,Not afraid,Not afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly agree,afraid,Slightly afraid,afraid,Very afraid,Not afraid,afraid
,female,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Agree,afraid,afraid,Very much afraid,Slightly afraid,Very much afraid,Not afraid
17.0,female,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Not afraid,Not afraid,Very afraid,afraid,Not afraid,Very afraid
16.0,female,Agree,Neutral,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Very afraid,afraid,Very much afraid,Very afraid,Slightly afraid,Very afraid
19.0,female,Agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Strongly agree,Disagree,Strongly agree,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid,afraid,Not afraid
18.0,female,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Not afraid,Very afraid,Very afraid,afraid,Very much afraid,afraid
19.0,male,Disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,afraid,Slightly afraid,Slightly afraid,afraid,Slightly afraid,afraid
21.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Not afraid,Very afraid,Very afraid,Very much afraid,afraid,Very much afraid
16.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Slightly afraid,Not afraid,Not afraid,Slightly afraid,Very afraid,Very afraid
20.0,female,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree,Agree,Agree,Not afraid,afraid,Very much afraid,Very much afraid,Very much afraid,Very much afraid
19.0,female,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Slightly afraid,Slightly afraid
20.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Not afraid,afraid,afraid,Slightly afraid,Very much afraid,afraid
16.0,female,Strongly disagree,Strongly disagree,Disagree,,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Very afraid,Very much afraid,Very much afraid,Very much afraid,Very much afraid,Very afraid
20.0,male,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,afraid,Not afraid,Slightly afraid,Slightly afraid,afraid,afraid
18.0,male,Neutral,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Disagree,Agree,Strongly disagree,afraid,afraid,Not afraid,Not afraid,Not afraid,afraid
20.0,male,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Not afraid,Slightly afraid,Not afraid,Very afraid,Very afraid,Not afraid
20.0,male,Neutral,Disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
16.0,female,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Not afraid,Not afraid,afraid,afraid,afraid,Very afraid
19.0,female,Agree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Slightly afraid,Not afraid,Slightly afraid,Very afraid,Not afraid,Very much afraid
19.0,male,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Very afraid,Slightly afraid
23.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Slightly afraid,Very much afraid,afraid,afraid,Very afraid,afraid
20.0,female,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly agree,Neutral,Strongly agree,Very afraid,Slightly afraid,afraid,Not afraid,Not afraid,Slightly afraid
23.0,male,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Not afraid,Not afraid,Not afraid,Very afraid,Very much afraid,Not afraid
19.0,male,Strongly disagree,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Slightly afraid,afraid,Very afraid,Very afraid,Not afraid,Very afraid
22.0,female,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,Disagree,Neutral,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid,afraid
17.0,male,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Not afraid,Not afraid,Not afraid,afraid,Not afraid,afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
21.0,female,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid
21.0,male,Neutral,Neutral,Neutral,Strongly agree,Neutral,Disagree,Neutral,Agree,Disagree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Slightly afraid
19.0,female,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,afraid,afraid,Very afraid,afraid,Slightly afraid,Slightly afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Disagree,afraid,afraid,Not afraid,Not afraid,Very afraid,Very afraid
19.0,male,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Very afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid,Very afraid
21.0,male,Neutral,Disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
22.0,female,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Agree,Slightly afraid,Slightly afraid,afraid,afraid,Very afraid,Very afraid
22.0,male,Strongly agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly agree,Agree,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Slightly afraid
22.0,male,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Slightly afraid,Not afraid,Very afraid,Slightly afraid,Not afraid,Slightly afraid
28.0,female,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,afraid,Not afraid,Not afraid,afraid,afraid,Very afraid
21.0,male,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Very much afraid,Very afraid,afraid,afraid,Very afraid,afraid
21.0,male,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Not afraid,afraid,Not afraid,Very much afraid,afraid,Slightly afraid
17.0,female,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Slightly afraid,afraid,afraid,Not afraid,Not afraid,Slightly afraid
21.0,female,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Strongly agree,Neutral,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid,afraid
17.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Not afraid,Very much afraid,afraid,Not afraid,Slightly afraid,Not afraid
28.0,male,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid,afraid,Slightly afraid
20.0,female,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Very much afraid,Not afraid,Very much afraid,Not afraid,afraid,afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Not afraid,Not afraid,Slightly afraid,Very much afraid,afraid,Slightly afraid
21.0,female,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Not afraid,Slightly afraid
23.0,male,Strongly agree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,afraid,Slightly afraid,Slightly afraid,Slightly afraid,Very much afraid,Not afraid
17.0,male,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Slightly afraid,Not afraid,Not afraid,Very much afraid,Not afraid,Very much afraid
20.0,male,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,Very afraid
19.0,male,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,afraid,Not afraid,Slightly afraid,Slightly afraid,afraid,Very much afraid
19.0,male,Neutral,Disagree,Disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree,Not afraid,Not afraid,Slightly afraid,Very afraid,Very much afraid,Very afraid
19.0,male,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,afraid,Not afraid,Slightly afraid,Very afraid,afraid,afraid
18.0,female,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Strongly agree,afraid,afraid,Very afraid,Slightly afraid,Not afraid,Slightly afraid
19.0,female,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,afraid,Very afraid,Very afraid,afraid,Slightly afraid,Slightly afraid
22.0,male,Agree,Disagree,Neutral,Strongly disagree,Agree,Strongly disagree,Disagree,Neutral,Agree,Not afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid
21.0,female,Neutral,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Slightly afraid,afraid,Very afraid,Very afraid,Very afraid,Slightly afraid
21.0,female,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Slightly afraid,afraid,Very much afraid,Very afraid,afraid,Very much afraid
21.0,male,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Very afraid
22.0,male,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Very afraid,Not afraid,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid
19.0,female,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Neutral,afraid,Slightly afraid,afraid,afraid,Not afraid,Slightly afraid
25.0,male,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,afraid,Very afraid,Slightly afraid,Very afraid,Very afraid,afraid
18.0,male,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
20.0,male,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,afraid,Not afraid,Slightly afraid,afraid,Very afraid,Very afraid
18.0,female,Neutral,Neutral,Strongly disagree,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly agree,Not afraid,Very afraid,Very afraid,afraid,Slightly afraid,afraid
23.0,male,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Neutral,Not afraid,afraid,afraid,afraid,afraid,Not afraid
18.0,female,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Very afraid,Slightly afraid,Very afraid,Very afraid,afraid,Very afraid
22.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Very much afraid,afraid,Not afraid,Very much afraid,Very much afraid,Not afraid
20.0,male,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Slightly afraid,Not afraid,Not afraid,Slightly afraid,Not afraid,Not afraid
19.0,male,Agree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
19.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,,Strongly agree,afraid,Not afraid,Not afraid,Very afraid,Slightly afraid,Not afraid
23.0,female,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,afraid
27.0,male,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Strongly agree,Disagree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Very afraid,Not afraid
20.0,male,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid,Very afraid
20.0,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very afraid,Not afraid,Not afraid,afraid,Very much afraid,Very much afraid
18.0,female,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Agree,Neutral,Neutral,Very much afraid,Slightly afraid,afraid,Slightly afraid,Very afraid,Not afraid
21.0,male,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Not afraid,Not afraid,Slightly afraid,Very afraid,Slightly afraid,Slightly afraid
21.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Strongly disagree,Strongly agree,afraid,Not afraid,Very afraid,Not afraid,Slightly afraid,Very afraid
19.0,female,Disagree,Neutral,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Not afraid,afraid,afraid,afraid,Not afraid,Not afraid
22.0,female,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree,afraid,Very afraid,Very afraid,Very much afraid,afraid,afraid
20.0,female,Neutral,Neutral,Strongly disagree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Very afraid,Very afraid,afraid,afraid,Very much afraid,Very much afraid
19.0,male,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,afraid,Very afraid
20.0,female,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Not afraid,afraid,Slightly afraid,Not afraid,Not afraid,Slightly afraid
19.0,female,Neutral,Neutral,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Agree,afraid,afraid,afraid,Very much afraid,Not afraid,Very much afraid
18.0,female,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,afraid,Not afraid,Not afraid,Slightly afraid,afraid,Not afraid
17.0,male,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Very afraid,Very afraid
21.0,male,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Not afraid,Not afraid,Not afraid,Very afraid,Not afraid,Not afraid
19.0,female,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,Not afraid,Slightly afraid,Slightly afraid
25.0,female,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly agree,Disagree,Strongly agree,Neutral,Slightly afraid,Slightly afraid,Slightly afraid,afraid,Very afraid,Very afraid
24.0,male,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Agree,,Slightly afraid,afraid,afraid,afraid,afraid,Not afraid
29.0,male,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,Strongly disagree,Disagree,Agree,Not afraid,Not afraid,Slightly afraid,Slightly afraid,afraid,Not afraid
21.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Slightly afraid,Not afraid,Slightly afraid,Very much afraid,Very afraid,afraid
18.0,male,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,afraid,Not afraid,Slightly afraid,Very much afraid,afraid,Very afraid
21.0,female,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Not afraid,afraid,Not afraid,Slightly afraid,afraid,afraid
17.0,male,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Slightly afraid,Slightly afraid,afraid,Very afraid,Very much afraid,afraid
